Year Month,District,Type,Count
2022-1,KOWLOON CITY,Fire,130
2022-1,KOWLOON CITY,Special Services,142
2022-1,KOWLOON CITY,Total,272
2022-2,KOWLOON CITY,Fire,131
2022-2,KOWLOON CITY,Special Services,112
2022-2,KOWLOON CITY,Total,243
2022-3,KOWLOON CITY,Fire,217
2022-3,KOWLOON CITY,Special Services,135
2022-3,KOWLOON CITY,Total,352
2022-1,TAI PO,Fire,80
2022-1,TAI PO,Special Services,85
2022-1,TAI PO,Total,165
2022-2,TAI PO,Fire,89
2022-2,TAI PO,Special Services,58
2022-2,TAI PO,Total,147
2022-3,TAI PO,Fire,117
2022-3,TAI PO,Special Services,93
2022-3,TAI PO,Total,210
2022-1,CENTRAL AND WESTERN,Fire,180
2022-1,CENTRAL AND WESTERN,Special Services,149
2022-1,CENTRAL AND WESTERN,Total,329
2022-2,CENTRAL AND WESTERN,Fire,150
2022-2,CENTRAL AND WESTERN,Special Services,99
2022-2,CENTRAL AND WESTERN,Total,249
2022-3,CENTRAL AND WESTERN,Fire,290
2022-3,CENTRAL AND WESTERN,Special Services,127
2022-3,CENTRAL AND WESTERN,Total,417
2022-1,YUEN LONG,Fire,196
2022-1,YUEN LONG,Special Services,159
2022-1,YUEN LONG,Total,355
2022-2,YUEN LONG,Fire,182
2022-2,YUEN LONG,Special Services,122
2022-2,YUEN LONG,Total,304
2022-3,YUEN LONG,Fire,215
2022-3,YUEN LONG,Special Services,165
2022-3,YUEN LONG,Total,380
2022-1,TUEN MUN,Fire,138
2022-1,TUEN MUN,Special Services,162
2022-1,TUEN MUN,Total,300
2022-2,TUEN MUN,Fire,144
2022-2,TUEN MUN,Special Services,130
2022-2,TUEN MUN,Total,274
2022-3,TUEN MUN,Fire,169
2022-3,TUEN MUN,Special Services,120
2022-3,TUEN MUN,Total,289
2022-1,NORTH,Fire,127
2022-1,NORTH,Special Services,104
2022-1,NORTH,Total,231
2022-2,NORTH,Fire,102
2022-2,NORTH,Special Services,93
2022-2,NORTH,Total,195
2022-3,NORTH,Fire,165
2022-3,NORTH,Special Services,102
2022-3,NORTH,Total,267
2022-1,SAI KUNG,Fire,101
2022-1,SAI KUNG,Special Services,168
2022-1,SAI KUNG,Total,269
2022-2,SAI KUNG,Fire,108
2022-2,SAI KUNG,Special Services,103
2022-2,SAI KUNG,Total,211
2022-3,SAI KUNG,Fire,182
2022-3,SAI KUNG,Special Services,124
2022-3,SAI KUNG,Total,306
2022-1,SHA TIN,Fire,162
2022-1,SHA TIN,Special Services,226
2022-1,SHA TIN,Total,388
2022-2,SHA TIN,Fire,178
2022-2,SHA TIN,Special Services,188
2022-2,SHA TIN,Total,366
2022-3,SHA TIN,Fire,246
2022-3,SHA TIN,Special Services,176
2022-3,SHA TIN,Total,422
2022-1,EASTERN,Fire,153
2022-1,EASTERN,Special Services,154
2022-1,EASTERN,Total,307
2022-2,EASTERN,Fire,101
2022-2,EASTERN,Special Services,110
2022-2,EASTERN,Total,211
2022-3,EASTERN,Fire,208
2022-3,EASTERN,Special Services,164
2022-3,EASTERN,Total,372
2022-1,YAU TSIM MONG,Fire,245
2022-1,YAU TSIM MONG,Special Services,190
2022-1,YAU TSIM MONG,Total,435
2022-2,YAU TSIM MONG,Fire,269
2022-2,YAU TSIM MONG,Special Services,142
2022-2,YAU TSIM MONG,Total,411
2022-3,YAU TSIM MONG,Fire,341
2022-3,YAU TSIM MONG,Special Services,176
2022-3,YAU TSIM MONG,Total,517
2022-1,SOUTHERN,Fire,78
2022-1,SOUTHERN,Special Services,109
2022-1,SOUTHERN,Total,187
2022-2,SOUTHERN,Fire,73
2022-2,SOUTHERN,Special Services,77
2022-2,SOUTHERN,Total,150
2022-3,SOUTHERN,Fire,141
2022-3,SOUTHERN,Special Services,103
2022-3,SOUTHERN,Total,244
2022-1,TSUEN WAN,Fire,119
2022-1,TSUEN WAN,Special Services,121
2022-1,TSUEN WAN,Total,240
2022-2,TSUEN WAN,Fire,100
2022-2,TSUEN WAN,Special Services,108
2022-2,TSUEN WAN,Total,208
2022-3,TSUEN WAN,Fire,161
2022-3,TSUEN WAN,Special Services,125
2022-3,TSUEN WAN,Total,286
2022-1,SHAM SHUI PO,Fire,181
2022-1,SHAM SHUI PO,Special Services,174
2022-1,SHAM SHUI PO,Total,355
2022-2,SHAM SHUI PO,Fire,156
2022-2,SHAM SHUI PO,Special Services,165
2022-2,SHAM SHUI PO,Total,321
2022-3,SHAM SHUI PO,Fire,265
2022-3,SHAM SHUI PO,Special Services,169
2022-3,SHAM SHUI PO,Total,434
2022-1,WONG TAI SIN,Fire,76
2022-1,WONG TAI SIN,Special Services,157
2022-1,WONG TAI SIN,Total,233
2022-2,WONG TAI SIN,Fire,67
2022-2,WONG TAI SIN,Special Services,108
2022-2,WONG TAI SIN,Total,175
2022-3,WONG TAI SIN,Fire,107
2022-3,WONG TAI SIN,Special Services,134
2022-3,WONG TAI SIN,Total,241
2022-1,KWAI TSING,Fire,112
2022-1,KWAI TSING,Special Services,144
2022-1,KWAI TSING,Total,256
2022-2,KWAI TSING,Fire,120
2022-2,KWAI TSING,Special Services,131
2022-2,KWAI TSING,Total,251
2022-3,KWAI TSING,Fire,209
2022-3,KWAI TSING,Special Services,174
2022-3,KWAI TSING,Total,383
2022-1,ISLANDS,Fire,83
2022-1,ISLANDS,Special Services,109
2022-1,ISLANDS,Total,192
2022-2,ISLANDS,Fire,75
2022-2,ISLANDS,Special Services,57
2022-2,ISLANDS,Total,132
2022-3,ISLANDS,Fire,167
2022-3,ISLANDS,Special Services,69
2022-3,ISLANDS,Total,236
2022-1,WAN CHAI,Fire,86
2022-1,WAN CHAI,Special Services,118
2022-1,WAN CHAI,Total,204
2022-2,WAN CHAI,Fire,93
2022-2,WAN CHAI,Special Services,76
2022-2,WAN CHAI,Total,169
2022-3,WAN CHAI,Fire,194
2022-3,WAN CHAI,Special Services,101
2022-3,WAN CHAI,Total,295
2022-1,KWUN TONG,Fire,149
2022-1,KWUN TONG,Special Services,228
2022-1,KWUN TONG,Total,377
2022-2,KWUN TONG,Fire,143
2022-2,KWUN TONG,Special Services,183
2022-2,KWUN TONG,Total,326
2022-3,KWUN TONG,Fire,232
2022-3,KWUN TONG,Special Services,260
2022-3,KWUN TONG,Total,492
2022-4,KOWLOON CITY,Fire,116
2022-4,KOWLOON CITY,Special Services,106
2022-4,KOWLOON CITY,Total,222
2022-4,TAI PO,Fire,109
2022-4,TAI PO,Special Services,93
2022-4,TAI PO,Total,202
2022-4,CENTRAL AND WESTERN,Fire,150
2022-4,CENTRAL AND WESTERN,Special Services,127
2022-4,CENTRAL AND WESTERN,Total,277
2022-4,YUEN LONG,Fire,228
2022-4,YUEN LONG,Special Services,140
2022-4,YUEN LONG,Total,368
2022-4,TUEN MUN,Fire,149
2022-4,TUEN MUN,Special Services,150
2022-4,TUEN MUN,Total,299
2022-4,NORTH,Fire,124
2022-4,NORTH,Special Services,104
2022-4,NORTH,Total,228
2022-4,SAI KUNG,Fire,118
2022-4,SAI KUNG,Special Services,148
2022-4,SAI KUNG,Total,266
2022-4,SHA TIN,Fire,136
2022-4,SHA TIN,Special Services,207
2022-4,SHA TIN,Total,343
2022-4,EASTERN,Fire,142
2022-4,EASTERN,Special Services,203
2022-4,EASTERN,Total,345
2022-4,YAU TSIM MONG,Fire,232
2022-4,YAU TSIM MONG,Special Services,194
2022-4,YAU TSIM MONG,Total,426
2022-4,SOUTHERN,Fire,80
2022-4,SOUTHERN,Special Services,112
2022-4,SOUTHERN,Total,192
2022-4,TSUEN WAN,Fire,103
2022-4,TSUEN WAN,Special Services,118
2022-4,TSUEN WAN,Total,221
2022-4,SHAM SHUI PO,Fire,164
2022-4,SHAM SHUI PO,Special Services,163
